quarter,trend
2005Q1,0.0
2005Q2,0.0
2005Q3,0.0
2005Q4,100.0
2006Q1,60.0
2006Q2,53.0
2006Q3,42.0
2006Q4,0.0
2007Q1,0.0
2007Q2,64.0
2007Q3,28.0
2007Q4,40.0
2008Q1,0.0
2008Q2,26.0
2008Q3,26.0
2008Q4,21.0
2009Q1,20.0
2009Q2,8.0
2009Q3,41.0
2009Q4,35.0
2010Q1,52.0
2010Q2,65.0
2010Q3,47.0
2010Q4,47.0
2011Q1,53.0
2011Q2,37.0
2011Q3,40.0
2011Q4,62.0
2012Q1,63.0
2012Q2,62.0
2012Q3,61.0
2012Q4,56.0
2013Q1,52.0
2013Q2,63.0
2013Q3,51.0
2013Q4,61.0
2014Q1,55.0
2014Q2,50.0
2014Q3,50.0
2014Q4,49.0
2015Q1,57.0
2015Q2,54.0
2015Q3,58.0
2015Q4,52.0
2016Q1,54.0
2016Q2,56.0
2016Q3,52.0
2016Q4,47.0
2017Q1,44.0
2017Q2,43.0
2017Q3,44.0
2017Q4,40.0
2018Q1,40.0
2018Q2,35.0
2018Q3,35.0
2018Q4,35.0
2019Q1,28.0
2019Q2,31.0
2019Q3,26.0
2019Q4,27.0
2020Q1,25.0
2020Q2,22.0
2020Q3,24.0
2020Q4,28.0
2021Q1,22.0
2021Q2,22.0
2021Q3,19.0
2021Q4,22.0
2022Q1,16.0
2022Q2,19.0
2022Q3,15.0
