observation_date,WUIVNM
1956-01-01,0.8503401
1956-04-01,0.0000000
1956-07-01,0.0000000
1956-10-01,0.0000000
1957-01-01,0.0000000
1957-04-01,1.3262600
1957-07-01,0.0000000
1957-10-01,0.0000000
1958-01-01,0.0000000
1958-04-01,0.0000000
1958-07-01,0.0000000
1958-10-01,0.0000000
1959-01-01,0.0000000
1959-04-01,0.0000000
1959-07-01,0.0000000
1959-10-01,0.0000000
1960-01-01,0.0000000
1960-04-01,0.0000000
1960-07-01,0.0000000
1960-10-01,0.0000000
1961-01-01,0.0000000
1961-04-01,0.0000000
1961-07-01,0.4500450
1961-10-01,0.0000000
1962-01-01,0.0000000
1962-04-01,0.0000000
1962-07-01,0.0000000
1962-10-01,0.0000000
1963-01-01,0.0000000
1963-04-01,0.0000000
1963-07-01,0.0000000
1963-10-01,0.0000000
1964-01-01,1.0905130
1964-04-01,0.0000000
1964-07-01,0.0000000
1964-10-01,0.0000000
1965-01-01,0.0000000
1965-04-01,0.5125577
1965-07-01,0.0000000
1965-10-01,0.0000000
1966-01-01,0.5743825
1966-04-01,0.4198153
1966-07-01,0.0000000
1966-10-01,0.0000000
1967-01-01,0.0000000
1967-04-01,0.0000000
1967-07-01,0.0000000
1967-10-01,0.0000000
1968-01-01,0.0000000
1968-04-01,0.0000000
1968-07-01,0.0000000
1968-10-01,0.0000000
1969-01-01,0.0000000
1969-04-01,0.0000000
1969-07-01,0.0000000
1969-10-01,0.0000000
1970-01-01,0.0000000
1970-04-01,0.0000000
1970-07-01,0.9784736
1970-10-01,0.0000000
1971-01-01,0.2431907
1971-04-01,0.3472222
1971-07-01,1.4779780
1971-10-01,0.0000000
1972-01-01,0.0000000
1972-04-01,0.0000000
1972-07-01,0.3010235
1972-10-01,0.0000000
1973-01-01,0.0000000
1973-04-01,0.3394433
1973-07-01,0.0000000
1973-10-01,0.0000000
1974-01-01,0.0000000
1974-04-01,0.0000000
1974-07-01,0.0000000
1974-10-01,0.0000000
1975-01-01,0.0000000
1975-04-01,0.0000000
1975-07-01,0.4310345
1975-10-01,0.0000000
1976-01-01,0.2288853
1976-04-01,0.0000000
1976-07-01,0.5765350
1976-10-01,0.0000000
1977-01-01,0.0000000
1977-04-01,0.0000000
1977-07-01,0.0000000
1977-10-01,0.0000000
1978-01-01,0.0000000
1978-04-01,0.0000000
1978-07-01,0.1883239
1978-10-01,0.0000000
1979-01-01,0.0000000
1979-04-01,0.0000000
1979-07-01,0.0000000
1979-10-01,0.0000000
1980-01-01,0.3105590
1980-04-01,0.0000000
1980-07-01,0.0000000
1980-10-01,0.0000000
1981-01-01,0.0000000
1981-04-01,0.0000000
1981-07-01,0.0000000
1981-10-01,0.0000000
1982-01-01,0.0000000
1982-04-01,0.0000000
1982-07-01,0.0000000
1982-10-01,0.0000000
1983-01-01,0.0000000
1983-04-01,0.2701243
1983-07-01,0.3211304
1983-10-01,0.0000000
1984-01-01,0.7049701
1984-04-01,0.0000000
1984-07-01,0.4879239
1984-10-01,0.0000000
1985-01-01,0.0000000
1985-04-01,0.0000000
1985-07-01,0.1965795
1985-10-01,0.0000000
1986-01-01,0.6322111
1986-04-01,0.0000000
1986-07-01,0.4251701
1986-10-01,0.3451847
1987-01-01,0.0000000
1987-04-01,0.0000000
1987-07-01,0.2005616
1987-10-01,0.2184360
1988-01-01,0.1909855
1988-04-01,0.1312164
1988-07-01,0.0000000
1988-10-01,0.0000000
1989-01-01,0.0000000
1989-04-01,0.0000000
1989-07-01,0.2135839
1989-10-01,0.0000000
1990-01-01,0.0000000
1990-04-01,0.2258356
1990-07-01,0.4743833
1990-10-01,0.0751541
1991-01-01,0.0000000
1991-04-01,0.0000000
1991-07-01,0.1513775
1991-10-01,0.0802697
1992-01-01,0.2189142
1992-04-01,0.0650872
1992-07-01,0.1793936
1992-10-01,0.1113090
1993-01-01,0.0000000
1993-04-01,0.0965158
1993-07-01,0.0000000
1993-10-01,0.0000000
1994-01-01,0.0776518
1994-04-01,0.1091227
1994-07-01,0.0000000
1994-10-01,0.0000000
1995-01-01,0.0000000
1995-04-01,0.0465745
1995-07-01,0.1057082
1995-10-01,0.0526676
1996-01-01,0.0602882
1996-04-01,0.2375015
1996-07-01,0.1774413
1996-10-01,0.0000000
1997-01-01,0.0643045
1997-04-01,0.0000000
1997-07-01,0.0000000
1997-10-01,0.1289740
1998-01-01,0.0723537
1998-04-01,0.1037075
1998-07-01,0.1787736
1998-10-01,0.0576834
1999-01-01,0.0000000
1999-04-01,0.0000000
1999-07-01,0.0000000
1999-10-01,0.0000000
2000-01-01,0.0554293
2000-04-01,0.0568569
2000-07-01,0.0576435
2000-10-01,0.0000000
2001-01-01,0.0750131
